# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   1.757390e-01   9.900990e-03   5.696651e+00   0.000000e+00   nan
      1   1.798504e-01   1.030088e-02   5.581859e+00   nan   nan
      2   1.840464e-01   1.071692e-02   5.469494e+00   -nan   nan
      3   1.883286e-01   1.114977e-02   5.359500e+00   nan   nan
      4   1.926986e-01   1.160010e-02   5.251820e+00   -nan   nan
      5   1.971583e-01   1.206863e-02   5.146399e+00   nan   nan
      6   2.017093e-01   1.255609e-02   5.043186e+00   -nan   nan
      7   2.063534e-01   1.306324e-02   4.942128e+00   nan   nan
      8   2.110925e-01   1.359088e-02   4.843177e+00   -nan   nan
      9   2.159285e-01   1.413984e-02   4.746283e+00   nan   nan
     10   2.208631e-01   1.471097e-02   4.651400e+00   -nan   nan
     11   2.258985e-01   1.530518e-02   4.558482e+00   nan   nan
     12   2.310364e-01   1.592339e-02   4.467484e+00   -nan   nan
     13   2.362790e-01   1.656658e-02   4.378363e+00   nan   nan
     14   2.416283e-01   1.723576e-02   4.291078e+00   -nan   nan
     15   2.470865e-01   1.793197e-02   4.205587e+00   nan   nan
     16   2.526556e-01   1.865631e-02   4.121850e+00   -nan   nan
     17   2.583378e-01   1.940990e-02   4.039829e+00   nan   nan
     18   2.641354e-01   2.019395e-02   3.959485e+00   -nan   nan
     19   2.700506e-01   2.100967e-02   3.880783e+00   nan   nan
     20   2.760858e-01   2.185835e-02   3.803685e+00   -nan   nan
     21   2.822433e-01   2.274131e-02   3.728158e+00   nan   nan
# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   1.757390e-01   9.900990e-03   5.696651e+00   0.000000e+00   3.120460e-01
      1   1.798504e-01   1.030088e-02   5.581859e+00   8.136308e-10   3.120460e-01
      2   1.840464e-01   1.071692e-02   5.469494e+00   1.506514e-09   3.120460e-01
      3   1.883286e-01   1.114977e-02   5.359500e+00   2.135237e-09   3.120460e-01
      4   1.926986e-01   1.160010e-02   5.251820e+00   2.711376e-09   3.120460e-01
      5   1.971583e-01   1.206863e-02   5.146399e+00   3.241092e-09   3.120460e-01
      6   2.017093e-01   1.255609e-02   5.043186e+00   3.729419e-09   3.120460e-01
      7   2.063534e-01   1.306324e-02   4.942128e+00   4.180804e-09   3.120460e-01
      8   2.110925e-01   1.359088e-02   4.843177e+00   4.599239e-09   3.120460e-01
      9   2.159285e-01   1.413984e-02   4.746283e+00   4.988320e-09   3.120460e-01
     10   2.208631e-01   1.471097e-02   4.651400e+00   5.351297e-09   3.120460e-01
     11   2.258985e-01   1.530518e-02   4.558482e+00   5.691111e-09   3.120460e-01
     12   2.310364e-01   1.592339e-02   4.467484e+00   6.010424e-09   3.120460e-01
     13   2.362790e-01   1.656658e-02   4.378363e+00   6.311654e-09   3.120460e-01
     14   2.416283e-01   1.723576e-02   4.291078e+00   6.596993e-09   3.120460e-01
