# power spectrum of phi
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.227185e-03   2.710149e-10   0.000000e+00   9.584803e-11   6
  1.735501e-03   6.417804e-10   0.000000e+00   1.376715e-10   12
  2.125546e-03   4.659902e-10   2.328306e-11   1.281273e-10   8
  2.454369e-03   5.071777e-10   0.000000e+00   1.418821e-10   6
  2.744068e-03   4.576141e-10   0.000000e+00   5.846993e-11   24
  3.005976e-03   4.854803e-10   4.390297e-11   9.277166e-11   24
  3.471002e-03   1.513658e-10   0.000000e+00   3.691517e-11   12
  3.681554e-03   4.732204e-10   4.967054e-11   5.674181e-11   30
  3.880699e-03   3.095392e-10   0.000000e+00   5.348593e-11   24
  4.070111e-03   3.785222e-10   7.604217e-11   7.722179e-11   24
  4.251092e-03   7.918939e-10   4.656613e-11   2.859965e-10   8
  4.424677e-03   2.981973e-10   6.208817e-11   5.620071e-11   24
  4.591704e-03   3.388037e-10   0.000000e+00   3.887727e-11   48
  4.908739e-03   2.474801e-10   0.000000e+00   2.660117e-11   6
  5.059812e-03   4.503523e-10   8.780593e-11   4.803646e-11   48
  5.206503e-03   4.624902e-10   0.000000e+00   6.613156e-11   36
  5.349174e-03   2.459809e-10   6.208817e-11   5.474811e-11   24
  5.488137e-03   3.491613e-10   0.000000e+00   4.744816e-11   24
  5.623666e-03   3.143275e-10   0.000000e+00   3.792457e-11   48
  5.756006e-03   6.171109e-10   8.780593e-11   1.107480e-10   24
  6.011952e-03   3.783017e-10   8.780593e-11   7.433553e-11   24
  6.135923e-03   4.197528e-10   0.000000e+00   6.365504e-11   30
  6.257438e-03   4.287484e-10   0.000000e+00   4.143529e-11   72
  6.376638e-03   4.611150e-10   9.313226e-11   6.558841e-11   32
  6.608591e-03   3.368588e-10   0.000000e+00   5.577729e-11   72
  6.721567e-03   3.604712e-10   0.000000e+00   4.258615e-11   48
  6.942005e-03   1.657390e-10   0.000000e+00   3.388211e-11   12
  7.102647e-03   4.310165e-10   5.300778e-05   4.109325e-11   96
  7.260122e-03   2.750383e-10   8.780593e-11   3.904080e-11   48
  7.363108e-03   3.096803e-10   9.934107e-11   3.997690e-11   30
