# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   1.757390e-01   9.900990e-03   5.696651e+00   0.000000e+00   6.943004e-310
      1   1.798504e-01   1.030088e-02   5.581859e+00   0.000000e+00   6.943004e-310
      2   1.840464e-01   1.071692e-02   5.469494e+00   0.000000e+00   6.943004e-310
      3   1.883286e-01   1.114977e-02   5.359500e+00   0.000000e+00   6.943004e-310
      4   1.926986e-01   1.160010e-02   5.251820e+00   0.000000e+00   6.943004e-310
      5   1.971583e-01   1.206863e-02   5.146399e+00   0.000000e+00   6.943004e-310
      6   2.017093e-01   1.255609e-02   5.043186e+00   0.000000e+00   6.943004e-310
      7   2.063534e-01   1.306324e-02   4.942128e+00   0.000000e+00   6.943004e-310
      8   2.110925e-01   1.359088e-02   4.843177e+00   0.000000e+00   6.943004e-310
      9   2.159285e-01   1.413984e-02   4.746283e+00   0.000000e+00   6.943004e-310
     10   2.208631e-01   1.471097e-02   4.651400e+00   0.000000e+00   6.943004e-310
     11   2.258985e-01   1.530518e-02   4.558482e+00   0.000000e+00   6.943004e-310
     12   2.310364e-01   1.592339e-02   4.467484e+00   0.000000e+00   6.943004e-310
     13   2.362790e-01   1.656658e-02   4.378363e+00   0.000000e+00   6.943004e-310
     14   2.416283e-01   1.723576e-02   4.291078e+00   0.000000e+00   6.943004e-310
     15   2.470865e-01   1.793197e-02   4.205587e+00   0.000000e+00   6.943004e-310
     16   2.526556e-01   1.865631e-02   4.121850e+00   0.000000e+00   6.943004e-310
     17   2.583378e-01   1.940990e-02   4.039829e+00   0.000000e+00   6.943004e-310
     18   2.641354e-01   2.019395e-02   3.959485e+00   0.000000e+00   6.943004e-310
     19   2.700506e-01   2.100967e-02   3.880783e+00   0.000000e+00   6.943004e-310
     20   2.760858e-01   2.185835e-02   3.803685e+00   0.000000e+00   6.943004e-310
     21   2.822433e-01   2.274131e-02   3.728158e+00   0.000000e+00   6.943004e-310
     22   2.885256e-01   2.365994e-02   3.654166e+00   0.000000e+00   6.943004e-310
     23   2.949351e-01   2.461569e-02   3.581678e+00   0.000000e+00   6.943004e-310
