# power spectrum of phi
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.227185e-03   2.687373e-10   0.000000e+00   9.511605e-11   6
  1.735501e-03   6.383647e-10   0.000000e+00   1.369779e-10   12
  2.125546e-03   4.649711e-10   2.328306e-11   1.278727e-10   8
  2.454369e-03   5.093939e-10   0.000000e+00   1.425285e-10   6
  2.744068e-03   4.598908e-10   0.000000e+00   5.876222e-11   24
  3.005976e-03   4.884462e-10   4.390297e-11   9.335868e-11   24
  3.471002e-03   1.525105e-10   0.000000e+00   3.719370e-11   12
  3.681554e-03   4.776085e-10   4.967054e-11   5.737268e-11   30
  3.880699e-03   3.128930e-10   0.000000e+00   5.407240e-11   24
  4.070111e-03   3.822758e-10   7.604217e-11   7.800010e-11   24
  4.251092e-03   7.974836e-10   4.656613e-11   2.880416e-10   8
  4.424677e-03   3.008635e-10   6.208817e-11   5.671237e-11   24
  4.591704e-03   3.415274e-10   0.000000e+00   3.919457e-11   48
  4.908739e-03   2.501927e-10   0.000000e+00   2.687520e-11   6
  5.059812e-03   4.540936e-10   8.780593e-11   4.848698e-11   48
  5.206503e-03   4.660536e-10   0.000000e+00   6.664420e-11   36
  5.349174e-03   2.472988e-10   6.208817e-11   5.504633e-11   24
  5.488137e-03   3.515415e-10   0.000000e+00   4.777038e-11   24
  5.623666e-03   3.162383e-10   0.000000e+00   3.815928e-11   48
  5.756006e-03   6.190805e-10   8.780593e-11   1.111071e-10   24
  6.011952e-03   3.796157e-10   8.780593e-11   7.459811e-11   24
  6.135923e-03   4.216300e-10   0.000000e+00   6.402864e-11   30
  6.257438e-03   4.305822e-10   0.000000e+00   4.159789e-11   72
  6.376638e-03   4.628006e-10   9.313226e-11   6.578555e-11   32
  6.608591e-03   3.374021e-10   0.000000e+00   5.582830e-11   72
  6.721567e-03   3.615464e-10   0.000000e+00   4.271703e-11   48
  6.942005e-03   1.658029e-10   0.000000e+00   3.388925e-11   12
  7.102647e-03   4.310730e-10   5.300778e-05   4.109754e-11   96
  7.260122e-03   2.751906e-10   8.780593e-11   3.906152e-11   48
  7.363108e-03   3.095902e-10   9.934107e-11   3.995560e-11   30
  7.539824e-03   3.236967e-10   4.338849e-05   2.710309e-11   96
  7.761397e-03   2.731073e-10   0.000000e+00   9.507932e-11   24
  7.889566e-03   3.715578e-10   4.490115e-05   3.125049e-11   144
  8.047188e-03   3.199585e-10   1.520843e-10   5.304114e-11   24
  8.209209e-03   4.191620e-10   3.982973e-05   4.565337e-11   96
  8.323171e-03   3.926596e-10   0.000000e+00   5.421937e-11   48
  8.578924e-03   3.532690e-10   2.953691e-05   3.536756e-11   62
  8.708904e-03   3.091117e-10   4.153612e-05   2.729311e-11   132
  8.849354e-03   3.052234e-10   1.241763e-10   8.439874e-11   24
  8.981976e-03   3.207704e-10   4.151455e-05   2.075923e-11   168
  9.224225e-03   3.607576e-10   4.081595e-05   2.720782e-11   96
  9.406128e-03   2.929414e-10   3.473814e-05   3.243074e-11   96
  9.629329e-03   2.836456e-10   3.872028e-05   2.307107e-11   168
  9.817477e-03   5.851972e-11   0.000000e+00   3.092632e-11   6
  9.893879e-03   2.395275e-10   0.000000e+00   2.665328e-11   96
  9.984744e-03   2.816319e-10   3.009762e-05   1.855986e-11   120
  1.016905e-02   2.494761e-10   3.494872e-05   2.106100e-11   144
  1.026736e-02   2.770765e-10   0.000000e+00   3.110300e-11   48
  1.045419e-02   2.172022e-10   3.566203e-05   2.611909e-11   84
  1.055664e-02   2.664987e-10   2.433349e-10   1.958955e-11   120
  1.064892e-02   2.572946e-10   3.236074e-05   2.753570e-11   80
  1.079173e-02   2.786741e-10   3.285678e-05   2.228409e-11   144
  1.097627e-02   2.334780e-10   0.000000e+00   4.546948e-11   24
  1.106641e-02   3.395977e-10   3.170535e-05   2.681086e-11   150
