# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   1.405912e+00   9.900990e-03   5.696651e+00   0.000000e+00   0.000000e+00
      1   1.438804e+00   1.030088e-02   5.581859e+00   0.000000e+00   0.000000e+00
      2   1.472371e+00   1.071692e-02   5.469494e+00   0.000000e+00   0.000000e+00
      3   1.506629e+00   1.114977e-02   5.359500e+00   0.000000e+00   0.000000e+00
      4   1.541589e+00   1.160010e-02   5.251820e+00   0.000000e+00   0.000000e+00
      5   1.577266e+00   1.206863e-02   5.146399e+00   0.000000e+00   0.000000e+00
      6   1.613674e+00   1.255609e-02   5.043186e+00   0.000000e+00   0.000000e+00
      7   1.650827e+00   1.306324e-02   4.942128e+00   0.000000e+00   0.000000e+00
      8   1.688740e+00   1.359088e-02   4.843177e+00   0.000000e+00   0.000000e+00
      9   1.727428e+00   1.413984e-02   4.746283e+00   0.000000e+00   0.000000e+00
     10   1.766905e+00   1.471097e-02   4.651400e+00   0.000000e+00   0.000000e+00
     11   1.807188e+00   1.530518e-02   4.558482e+00   0.000000e+00   0.000000e+00
     12   1.848291e+00   1.592339e-02   4.467484e+00   0.000000e+00   0.000000e+00
     13   1.890232e+00   1.656658e-02   4.378363e+00   0.000000e+00   0.000000e+00
     14   1.933027e+00   1.723576e-02   4.291078e+00   0.000000e+00   0.000000e+00
     15   1.976692e+00   1.793197e-02   4.205587e+00   0.000000e+00   0.000000e+00
     16   2.021245e+00   1.865631e-02   4.121850e+00   0.000000e+00   0.000000e+00
     17   2.066702e+00   1.940990e-02   4.039829e+00   0.000000e+00   0.000000e+00
     18   2.113083e+00   2.019395e-02   3.959485e+00   0.000000e+00   0.000000e+00
     19   2.160405e+00   2.100967e-02   3.880783e+00   0.000000e+00   0.000000e+00
     20   2.208687e+00   2.185835e-02   3.803685e+00   0.000000e+00   0.000000e+00
     21   2.257947e+00   2.274131e-02   3.728158e+00   0.000000e+00   0.000000e+00
     22   2.308205e+00   2.365994e-02   3.654166e+00   0.000000e+00   0.000000e+00
     23   2.359481e+00   2.461569e-02   3.581678e+00   0.000000e+00   0.000000e+00
     24   2.411794e+00   2.561005e-02   3.510660e+00   0.000000e+00   0.000000e+00
     25   2.465166e+00   2.664458e-02   3.441081e+00   0.000000e+00   0.000000e+00
     26   2.519617e+00   2.772090e-02   3.372911e+00   0.000000e+00   0.000000e+00
     27   2.575169e+00   2.884071e-02   3.306118e+00   0.000000e+00   0.000000e+00
     28   2.631842e+00   3.000576e-02   3.240675e+00   0.000000e+00   0.000000e+00
     29   2.689661e+00   3.121788e-02   3.176552e+00   0.000000e+00   0.000000e+00
     30   2.748646e+00   3.247897e-02   3.113721e+00   0.000000e+00   0.000000e+00
     31   2.808822e+00   3.379101e-02   3.052156e+00   0.000000e+00   0.000000e+00
     32   2.870211e+00   3.515605e-02   2.991830e+00   0.000000e+00   0.000000e+00
     33   2.932839e+00   3.657624e-02   2.932717e+00   0.000000e+00   0.000000e+00
     34   2.996728e+00   3.805381e-02   2.874791e+00   0.000000e+00   0.000000e+00
     35   3.061905e+00   3.959107e-02   2.818029e+00   0.000000e+00   0.000000e+00
     36   3.128395e+00   4.119044e-02   2.762406e+00   0.000000e+00   0.000000e+00
     37   3.196224e+00   4.285443e-02   2.707898e+00   0.000000e+00   0.000000e+00
