# power spectrum of chi
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  9.817477e-03   nan   0.000000e+00   0.000000e+00   6
  1.388401e-02   -nan   0.000000e+00   0.000000e+00   12
  1.700437e-02   -nan   1.862645e-10   0.000000e+00   8
  1.963495e-02   nan   0.000000e+00   0.000000e+00   6
  2.195255e-02   -nan   0.000000e+00   0.000000e+00   24
  2.404781e-02   -nan   3.512237e-10   0.000000e+00   24
  2.776802e-02   -nan   0.000000e+00   0.000000e+00   12
  2.945243e-02   -nan   3.973643e-10   0.000000e+00   30
  3.104559e-02   -nan   0.000000e+00   0.000000e+00   24
  3.256089e-02   -nan   6.083374e-10   0.000000e+00   24
  3.400874e-02   -nan   3.725290e-10   0.000000e+00   8
  3.539742e-02   -nan   4.967054e-10   0.000000e+00   24
  3.673364e-02   -nan   0.000000e+00   0.000000e+00   48
  3.926991e-02   -nan   0.000000e+00   0.000000e+00   6
  4.047849e-02   nan   7.024475e-10   0.000000e+00   48
  4.165203e-02   -nan   0.000000e+00   0.000000e+00   36
  4.279339e-02   nan   4.967054e-10   0.000000e+00   24
  4.390509e-02   nan   0.000000e+00   0.000000e+00   24
  4.498933e-02   -nan   0.000000e+00   0.000000e+00   48
  4.604805e-02   nan   7.024475e-10   0.000000e+00   24
  4.809562e-02   -nan   7.024475e-10   0.000000e+00   24
  4.908739e-02   -nan   0.000000e+00   0.000000e+00   30
  5.005951e-02   nan   0.000000e+00   0.000000e+00   72
  5.101311e-02   -nan   7.450581e-10   0.000000e+00   32
  5.286873e-02   nan   0.000000e+00   0.000000e+00   72
  5.377254e-02   -nan   0.000000e+00   0.000000e+00   48
  5.553604e-02   nan   0.000000e+00   0.000000e+00   12
  5.682117e-02   nan   4.240622e-04   0.000000e+00   96
  5.808098e-02   -nan   7.024475e-10   0.000000e+00   48
  5.890486e-02   nan   7.947286e-10   0.000000e+00   30
  6.031859e-02   -nan   3.471079e-04   0.000000e+00   96
  6.209118e-02   -nan   0.000000e+00   0.000000e+00   24
  6.311652e-02   -nan   3.592092e-04   0.000000e+00   144
  6.437750e-02   nan   1.216675e-09   0.000000e+00   24
  6.567367e-02   nan   3.186379e-04   0.000000e+00   96
  6.658537e-02   -nan   0.000000e+00   0.000000e+00   48
  6.863139e-02   nan   2.362952e-04   0.000000e+00   62
  6.967123e-02   -nan   3.322889e-04   0.000000e+00   132
  7.079483e-02   nan   9.934107e-10   0.000000e+00   24
  7.185581e-02   -nan   3.321164e-04   0.000000e+00   168
  7.379380e-02   -nan   3.265276e-04   0.000000e+00   96
  7.524902e-02   -nan   2.779051e-04   0.000000e+00   96
  7.703463e-02   -nan   3.097623e-04   0.000000e+00   168
  7.853982e-02   nan   0.000000e+00   0.000000e+00   6
  7.915103e-02   -nan   0.000000e+00   0.000000e+00   96
  7.987795e-02   -nan   2.407810e-04   0.000000e+00   120
  8.135239e-02   -nan   2.795898e-04   0.000000e+00   144
  8.213891e-02   nan   0.000000e+00   0.000000e+00   48
  8.363349e-02   nan   2.852962e-04   0.000000e+00   84
  8.445313e-02   -nan   1.946680e-09   0.000000e+00   120
  8.519133e-02   nan   2.588859e-04   0.000000e+00   80
  8.633388e-02   -nan   2.628543e-04   0.000000e+00   144
  8.781018e-02   nan   0.000000e+00   0.000000e+00   24
  8.853129e-02   -nan   2.536428e-04   0.000000e+00   150
  8.965635e-02   -nan   2.631687e-04   0.000000e+00   120
  9.089186e-02   -nan   2.398229e-04   0.000000e+00   168
  9.209610e-02   -nan   1.404895e-09   0.000000e+00   24
  9.285374e-02   nan   2.583616e-04   0.000000e+00   264
  9.365276e-02   -nan   1.404895e-09   0.000000e+00   48
  9.501475e-02   -nan   2.393092e-04   0.000000e+00   144
  9.652437e-02   nan   2.355599e-04   0.000000e+00   72
  9.738590e-02   -nan   2.423030e-04   0.000000e+00   180
  9.859023e-02   -nan   1.755651e-04   0.000000e+00   198
  9.915166e-02   -nan   0.000000e+00   0.000000e+00   48
  1.003934e-01   -nan   2.376324e-04   0.000000e+00   168
  1.013149e-01   nan   2.378298e-04   0.000000e+00   144
  1.027090e-01   -nan   3.341640e-04   0.000000e+00   248
  1.045916e-01   -nan   2.303791e-04   0.000000e+00   192
  1.058735e-01   -nan   3.558542e-04   0.000000e+00   240
  1.066451e-01   nan   0.000000e+00   0.000000e+00   72
  1.078219e-01   nan   2.171574e-04   0.000000e+00   126
  1.085643e-01   -nan   2.003571e-04   0.000000e+00   168
  1.099818e-01   -nan   2.190882e-04   0.000000e+00   288
  1.114718e-01   -nan   1.153895e-04   0.000000e+00   156
  1.122434e-01   -nan   1.941187e-04   0.000000e+00   168
  1.134135e-01   -nan   3.327823e-04   0.000000e+00   264
  1.144905e-01   -nan   0.000000e+00   0.000000e+00   48
  1.152908e-01   -nan   3.311990e-04   0.000000e+00   264
  1.164380e-01   -nan   1.952208e-04   0.000000e+00   144
  1.173045e-01   nan   3.994121e-04   0.000000e+00   78
  1.185667e-01   -nan   2.596343e-04   0.000000e+00   336
  1.197570e-01   -nan   1.975394e-04   0.000000e+00   200
  1.205386e-01   -nan   3.867848e-04   0.000000e+00   192
  1.215940e-01   -nan   1.940984e-04   0.000000e+00   240
  1.225635e-01   -nan   3.889846e-04   0.000000e+00   168
