# power spectrum of phi
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   8.789334e-11   0.000000e+00   3.185759e-11   6
  2.776802e-02   1.309270e-10   0.000000e+00   2.779891e-11   12
  3.400874e-02   6.444243e-11   3.725290e-10   1.763250e-11   8
  3.926991e-02   5.390648e-11   0.000000e+00   1.258247e-11   6
  4.390509e-02   4.565200e-11   0.000000e+00   5.533133e-12   24
  4.809562e-02   3.539514e-11   7.024475e-10   6.660579e-12   24
  5.553604e-02   1.054248e-11   0.000000e+00   2.301739e-12   12
  5.890486e-02   2.631222e-11   7.947286e-10   2.669948e-12   30
  6.209118e-02   1.510563e-11   0.000000e+00   2.774727e-12   24
  6.512178e-02   1.923677e-11   1.216675e-09   3.513159e-12   24
  6.801748e-02   3.695421e-11   7.450581e-10   1.189294e-11   8
  7.079483e-02   1.577958e-11   9.934107e-10   2.803273e-12   24
  7.346727e-02   1.166506e-11   0.000000e+00   1.225161e-12   48
  7.853982e-02   9.719230e-12   0.000000e+00   6.976808e-13   6
  8.095699e-02   1.473128e-11   1.404895e-09   1.557647e-12   48
  8.330406e-02   1.196647e-11   0.000000e+00   1.620803e-12   36
  8.558678e-02   6.092384e-12   9.934107e-10   1.587937e-12   24
  8.781018e-02   6.418082e-12   0.000000e+00   1.221220e-12   24
  8.997866e-02   8.275267e-12   0.000000e+00   1.210895e-12   48
  9.209610e-02   1.158072e-11   1.404895e-09   2.015066e-12   24
  9.619124e-02   6.416364e-12   1.404895e-09   1.230136e-12   24
  9.817477e-02   7.418573e-12   0.000000e+00   1.260827e-12   30
  1.001190e-01   7.518384e-12   0.000000e+00   7.484437e-13   72
  1.020262e-01   8.184994e-12   1.490116e-09   1.346382e-12   32
  1.057375e-01   6.357670e-12   0.000000e+00   8.574964e-13   72
  1.075451e-01   5.249339e-12   0.000000e+00   6.638502e-13   48
  1.110721e-01   3.727489e-12   0.000000e+00   6.095345e-13   12
  1.127942e-01   6.218856e-12   0.000000e+00   7.614518e-13   48
  1.144905e-01   5.759902e-12   0.000000e+00   7.452957e-13   48
  1.161620e-01   3.850557e-12   1.404895e-09   5.260114e-13   48
  1.178097e-01   3.866404e-12   1.589457e-09   7.330751e-13   30
  1.194348e-01   3.826668e-12   1.404895e-09   5.932682e-13   24
  1.210380e-01   4.848288e-12   2.961779e-09   4.052597e-13   72
  1.241824e-01   4.242747e-12   0.000000e+00   1.566569e-12   24
  1.257251e-01   4.899886e-12   0.000000e+00   4.367943e-13   96
  1.272490e-01   3.204210e-12   0.000000e+00   4.105784e-13   48
  1.287550e-01   3.467064e-12   2.433349e-09   5.640745e-13   24
  1.302436e-01   6.352285e-12   2.433349e-09   9.782203e-13   24
  1.317153e-01   3.770132e-12   0.000000e+00   4.364857e-13   72
  1.331707e-01   3.902145e-12   0.000000e+00   4.745369e-13   48
  1.360350e-01   4.202264e-12   1.490116e-09   1.798751e-12   8
  1.374447e-01   3.817401e-12   1.766064e-09   3.795999e-13   54
  1.388401e-01   4.632563e-12   0.000000e+00   5.552011e-13   84
  1.402216e-01   2.899224e-12   0.000000e+00   4.005556e-13   48
  1.415897e-01   2.866415e-12   1.986821e-09   7.474364e-13   24
  1.429446e-01   2.749334e-12   1.873193e-09   3.341083e-13   72
  1.442869e-01   2.685908e-12   0.000000e+00   2.448916e-13   96
  1.469345e-01   2.229784e-12   0.000000e+00   2.574042e-13   48
  1.482407e-01   2.093969e-12   0.000000e+00   2.806176e-13   48
  1.495354e-01   1.715490e-12   1.986821e-09   3.380747e-13   24
  1.508189e-01   2.029997e-12   0.000000e+00   2.178172e-13   72
  1.533539e-01   2.412481e-12   1.873193e-09   2.613198e-13   72
  1.546058e-01   2.308989e-12   0.000000e+00   2.026667e-13   96
  1.570796e-01   1.012896e-12   0.000000e+00   3.554006e-13   6
  1.583021e-01   2.353664e-12   0.000000e+00   2.398801e-13   96
  1.595151e-01   2.133198e-12   1.986821e-09   2.042522e-13   96
  1.607190e-01   3.101516e-12   0.000000e+00   5.635996e-13   24
  1.619140e-01   1.951870e-12   2.809790e-09   2.560284e-13   48
  1.631002e-01   1.671553e-12   0.000000e+00   1.769864e-13   96
  1.642778e-01   1.345359e-12   0.000000e+00   1.947229e-13   48
  1.666081e-01   2.401721e-12   0.000000e+00   3.844867e-13   36
  1.677611e-01   1.475106e-12   3.441276e-09   2.876221e-13   48
  1.689063e-01   1.663369e-12   3.893359e-09   1.581791e-13   120
  1.700437e-01   2.234050e-12   0.000000e+00   3.113791e-13   56
  1.711736e-01   1.100629e-12   1.986821e-09   2.693130e-13   24
  1.722960e-01   1.298819e-12   0.000000e+00   1.180799e-13   96
  1.734112e-01   1.985986e-12   0.000000e+00   2.548984e-13   48
  1.756204e-01   1.394168e-12   0.000000e+00   2.696104e-13   24
  1.767146e-01   1.764917e-12   0.000000e+00   1.657624e-13   102
  1.778021e-01   1.902502e-12   0.000000e+00   3.427983e-13   48
  1.788829e-01   1.696138e-12   0.000000e+00   1.667472e-13   72
  1.799573e-01   1.437193e-12   0.000000e+00   1.832020e-13   48
  1.810253e-01   2.019794e-12   0.000000e+00   3.167914e-13   48
  1.820871e-01   1.462120e-12   4.495664e-09   1.344865e-13   120
  1.841922e-01   8.494324e-13   2.809790e-09   1.849581e-13   24
  1.852358e-01   1.479258e-12   2.649095e-09   1.101994e-13   144
  1.862735e-01   1.163131e-12   3.178914e-09   8.874821e-14   120
  1.873055e-01   1.757385e-12   2.809790e-09   2.464026e-13   48
  1.893526e-01   1.075311e-12   2.809790e-09   1.824181e-13   48
