# power spectrum of hij
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   5.355681e-19   0.000000e+00   1.993780e-19   6
  2.776802e-02   3.438838e-19   0.000000e+00   3.157263e-20   12
  3.400874e-02   1.478147e-19   3.725290e-10   1.830719e-20   8
  3.926991e-02   1.307129e-19   0.000000e+00   1.726987e-20   6
  4.390509e-02   1.049291e-19   0.000000e+00   1.039863e-20   24
  4.809562e-02   4.330948e-20   7.024475e-10   6.888405e-21   24
  5.553604e-02   4.697697e-20   0.000000e+00   6.131116e-21   12
  5.890486e-02   2.186226e-20   7.947286e-10   1.863979e-21   30
  6.209118e-02   1.891732e-20   0.000000e+00   2.365049e-21   24
  6.512178e-02   2.189268e-20   1.216675e-09   2.843999e-21   24
  6.801748e-02   1.258206e-20   7.450581e-10   3.858273e-21   8
  7.079483e-02   1.298342e-20   9.934107e-10   1.525544e-21   24
  7.346727e-02   1.114099e-20   0.000000e+00   1.061854e-21   48
  7.853982e-02   9.942082e-21   0.000000e+00   1.792335e-21   6
  8.095699e-02   7.715786e-21   1.404895e-09   7.090110e-22   48
  8.330406e-02   7.996814e-21   0.000000e+00   9.189447e-22   36
  8.558678e-02   6.028451e-21   9.934107e-10   9.681090e-22   24
  8.781018e-02   6.120128e-21   0.000000e+00   8.453318e-22   24
  8.997866e-02   4.082438e-21   0.000000e+00   4.316724e-22   48
  9.209610e-02   4.801976e-21   1.404895e-09   7.476670e-22   24
  9.619124e-02   3.493209e-21   1.404895e-09   4.224004e-22   24
  9.817477e-02   4.501788e-21   0.000000e+00   6.534995e-22   30
  1.001190e-01   2.490583e-21   0.000000e+00   2.147346e-22   72
  1.020262e-01   2.726608e-21   1.490116e-09   2.877713e-22   32
  1.057375e-01   2.767868e-21   0.000000e+00   2.329991e-22   72
  1.075451e-01   2.364779e-21   0.000000e+00   2.281380e-22   48
  1.110721e-01   1.547672e-21   0.000000e+00   3.189380e-22   12
  1.127942e-01   1.655126e-21   0.000000e+00   1.254740e-22   48
  1.144905e-01   1.756643e-21   0.000000e+00   1.087010e-22   48
  1.161620e-01   1.543235e-21   1.404895e-09   1.282667e-22   48
  1.178097e-01   1.243695e-21   1.589457e-09   2.013104e-22   30
  1.194348e-01   1.471479e-21   1.404895e-09   1.719804e-22   24
  1.210380e-01   1.240546e-21   2.961779e-09   9.264799e-23   72
  1.241824e-01   8.256113e-22   0.000000e+00   8.942082e-23   24
  1.257251e-01   9.526467e-22   0.000000e+00   6.332979e-23   96
  1.272490e-01   1.051010e-21   0.000000e+00   7.868789e-23   48
  1.287550e-01   7.184115e-22   2.433349e-09   7.046218e-23   24
  1.302436e-01   8.584019e-22   2.433349e-09   8.399343e-23   24
  1.317153e-01   8.031824e-22   0.000000e+00   5.264118e-23   72
  1.331707e-01   9.785996e-22   0.000000e+00   6.417062e-23   48
  1.360350e-01   6.807717e-22   1.490116e-09   8.859422e-23   8
  1.374447e-01   6.268333e-22   1.766064e-09   6.847529e-23   54
  1.388401e-01   5.961526e-22   0.000000e+00   4.585481e-23   84
  1.402216e-01   5.622370e-22   0.000000e+00   7.495255e-23   48
  1.415897e-01   6.299345e-22   1.986821e-09   5.734450e-23   24
  1.429446e-01   4.788819e-22   1.873193e-09   4.923526e-23   72
  1.442869e-01   4.662133e-22   0.000000e+00   4.335333e-23   96
  1.469345e-01   4.592437e-22   0.000000e+00   2.955651e-23   48
  1.482407e-01   5.207074e-22   0.000000e+00   4.398109e-23   48
  1.495354e-01   3.339661e-22   1.986821e-09   6.111274e-23   24
  1.508189e-01   4.498110e-22   0.000000e+00   3.092016e-23   72
  1.533539e-01   3.629112e-22   1.873193e-09   3.837290e-23   72
  1.546058e-01   3.151142e-22   0.000000e+00   2.013818e-23   96
  1.570796e-01   2.828120e-22   0.000000e+00   4.966955e-23   6
  1.583021e-01   3.187219e-22   0.000000e+00   2.308284e-23   96
  1.595151e-01   3.389380e-22   1.986821e-09   2.116217e-23   96
  1.607190e-01   3.870952e-22   0.000000e+00   3.164888e-23   24
  1.619140e-01   2.993546e-22   2.809790e-09   2.491657e-23   48
  1.631002e-01   2.335608e-22   0.000000e+00   1.794184e-23   96
  1.642778e-01   2.493736e-22   0.000000e+00   2.122411e-23   48
  1.666081e-01   2.681186e-22   0.000000e+00   2.797234e-23   36
  1.677611e-01   2.540710e-22   3.441276e-09   2.202413e-23   48
  1.689063e-01   2.187760e-22   3.893359e-09   1.404348e-23   120
  1.700437e-01   2.220206e-22   0.000000e+00   2.627152e-23   56
  1.711736e-01   2.254152e-22   1.986821e-09   3.392204e-23   24
  1.722960e-01   2.112801e-22   0.000000e+00   1.880893e-23   96
  1.734112e-01   1.985841e-22   0.000000e+00   2.461007e-23   48
  1.756204e-01   2.334112e-22   0.000000e+00   3.220685e-23   24
  1.767146e-01   1.720402e-22   0.000000e+00   1.215471e-23   102
  1.778021e-01   1.992425e-22   0.000000e+00   2.099816e-23   48
  1.788829e-01   1.814260e-22   0.000000e+00   1.340056e-23   72
  1.799573e-01   1.502177e-22   0.000000e+00   1.925130e-23   48
  1.810253e-01   1.881342e-22   0.000000e+00   1.758911e-23   48
  1.820871e-01   1.835674e-22   4.495664e-09   1.220924e-23   120
  1.841922e-01   1.301434e-22   2.809790e-09   1.793182e-23   24
  1.852358e-01   1.415704e-22   2.649095e-09   9.072589e-24   144
  1.862735e-01   1.365916e-22   3.178914e-09   8.416527e-24   120
  1.873055e-01   1.507782e-22   2.809790e-09   1.376827e-23   48
  1.893526e-01   1.357189e-22   2.809790e-09   1.198491e-23   48
  1.903679e-01   1.139716e-22   2.809790e-09   6.983746e-24   96
  1.930487e-01   1.023747e-22   4.711199e-04   7.029934e-24   72
  1.943761e-01   1.016584e-22   3.532127e-09   5.827746e-24   108
  1.953653e-01   1.019947e-22   0.000000e+00   7.652093e-24   72
  1.963495e-01   9.166666e-23   0.000000e+00   5.978457e-24   30
  1.973288e-01   1.058688e-22   0.000000e+00   4.906311e-24   168
  1.983033e-01   7.728061e-23   0.000000e+00   8.610357e-24   48
  2.002380e-01   9.264364e-23   0.000000e+00   7.563326e-24   72
  2.011984e-01   8.533807e-23   0.000000e+00   5.355295e-24   96
  2.021542e-01   9.719856e-23   5.298191e-09   6.131501e-24   72
  2.031055e-01   8.434548e-23   0.000000e+00   4.435633e-24   72
  2.047049e-01   7.683487e-23   4.350048e-04   5.171899e-24   104
  2.059331e-01   7.730568e-23   3.746387e-09   5.956270e-24   144
  2.087224e-01   7.264400e-23   6.282881e-09   3.719459e-24   96
  2.096439e-01   7.163855e-23   0.000000e+00   5.836931e-24   96
  2.111095e-01   7.922907e-23   4.475232e-04   4.540349e-24   120
  2.123845e-01   6.980973e-23   0.000000e+00   4.133223e-24   120
  2.132902e-01   8.155854e-23   0.000000e+00   7.036107e-24   72
  2.150901e-01   7.215132e-23   0.000000e+00   6.886550e-24   48
  2.159845e-01   7.505739e-23   4.235416e-09   5.350405e-24   78
  2.171286e-01   6.301258e-23   4.007142e-04   2.977344e-24   168
  2.195255e-01   6.284519e-23   3.746387e-09   3.851247e-24   144
  2.204018e-01   5.234650e-23   3.746387e-09   2.945521e-24   144
  2.229436e-01   5.214777e-23   2.307791e-04   3.458336e-24   156
  2.238729e-01   5.698914e-23   4.866699e-09   6.742365e-24   48
