# power spectrum of chi
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   8.611855e-20   0.000000e+00   2.945804e-20   6
  2.776802e-02   1.369139e-19   0.000000e+00   3.723386e-20   12
  3.400874e-02   8.135139e-20   3.725290e-10   1.609773e-20   8
  3.926991e-02   6.360538e-20   0.000000e+00   2.096519e-20   6
  4.390509e-02   8.065105e-20   0.000000e+00   2.009977e-20   24
  4.809562e-02   6.851100e-20   7.024475e-10   1.125423e-20   24
  5.553604e-02   3.386595e-20   0.000000e+00   1.256241e-20   12
  5.890486e-02   3.907561e-20   7.947286e-10   6.030393e-21   30
  6.209118e-02   2.374250e-20   0.000000e+00   3.632901e-21   24
  6.512178e-02   1.627546e-20   1.216675e-09   4.367048e-21   24
  6.801748e-02   3.838461e-20   7.450581e-10   9.178357e-21   8
  7.079483e-02   1.761395e-20   9.934107e-10   3.785530e-21   24
  7.346727e-02   1.367120e-20   0.000000e+00   2.082734e-21   48
  7.853982e-02   1.246457e-20   0.000000e+00   1.093231e-21   6
  8.095699e-02   1.258348e-20   1.404895e-09   1.409177e-21   48
  8.330406e-02   8.640956e-21   0.000000e+00   1.733792e-21   36
  8.558678e-02   7.347180e-21   9.934107e-10   1.466820e-21   24
  8.781018e-02   7.697487e-21   0.000000e+00   1.352095e-21   24
  8.997866e-02   6.831383e-21   0.000000e+00   1.230229e-21   48
  9.209610e-02   1.537551e-20   1.404895e-09   3.100536e-21   24
  9.619124e-02   9.946629e-21   1.404895e-09   1.769871e-21   24
  9.817477e-02   4.644239e-21   0.000000e+00   1.270873e-21   30
  1.001190e-01   5.052764e-21   0.000000e+00   4.260143e-22   72
  1.020262e-01   3.903348e-21   1.490116e-09   7.047312e-22   32
  1.057375e-01   6.017030e-21   0.000000e+00   6.181059e-22   72
  1.075451e-01   3.613375e-21   0.000000e+00   4.793885e-22   48
  1.110721e-01   4.706732e-21   0.000000e+00   4.721114e-22   12
  1.127942e-01   3.861458e-21   0.000000e+00   4.163607e-22   48
  1.144905e-01   3.569753e-21   0.000000e+00   4.949912e-22   48
  1.161620e-01   2.055219e-21   1.404895e-09   2.689790e-22   48
  1.178097e-01   2.311023e-21   1.589457e-09   4.033032e-22   30
  1.194348e-01   1.105755e-21   1.404895e-09   1.642820e-22   24
  1.210380e-01   3.223350e-21   2.961779e-09   4.656186e-22   72
  1.241824e-01   2.011465e-21   0.000000e+00   2.834227e-22   24
  1.257251e-01   1.704557e-21   0.000000e+00   1.747592e-22   96
  1.272490e-01   2.709042e-21   0.000000e+00   3.045853e-22   48
  1.287550e-01   2.409943e-21   2.433349e-09   4.457013e-22   24
  1.302436e-01   1.983682e-21   2.433349e-09   2.694283e-22   24
  1.317153e-01   1.626315e-21   0.000000e+00   1.973606e-22   72
  1.331707e-01   1.378014e-21   0.000000e+00   1.701809e-22   48
  1.360350e-01   1.623158e-21   1.490116e-09   7.270727e-22   8
  1.374447e-01   1.426867e-21   1.766064e-09   2.083993e-22   54
  1.388401e-01   2.061630e-21   0.000000e+00   2.572106e-22   84
  1.402216e-01   1.082064e-21   0.000000e+00   1.799957e-22   48
  1.415897e-01   1.091067e-21   1.986821e-09   1.628739e-22   24
  1.429446e-01   1.066062e-21   1.873193e-09   1.251468e-22   72
  1.442869e-01   1.385586e-21   0.000000e+00   1.221070e-22   96
  1.469345e-01   9.785675e-22   0.000000e+00   1.305533e-22   48
  1.482407e-01   9.671288e-22   0.000000e+00   1.207855e-22   48
  1.495354e-01   1.308194e-21   1.986821e-09   3.435628e-22   24
  1.508189e-01   1.322557e-21   0.000000e+00   1.523500e-22   72
  1.533539e-01   9.685863e-22   1.873193e-09   1.051585e-22   72
  1.546058e-01   9.859129e-22   0.000000e+00   9.895270e-23   96
  1.570796e-01   2.074612e-22   0.000000e+00   5.819968e-23   6
  1.583021e-01   8.181520e-22   0.000000e+00   8.870613e-23   96
  1.595151e-01   8.682555e-22   1.986821e-09   9.033149e-23   96
  1.607190e-01   1.480914e-21   0.000000e+00   2.242495e-22   24
  1.619140e-01   8.711848e-22   2.809790e-09   1.294628e-22   48
  1.631002e-01   7.407644e-22   0.000000e+00   8.363555e-23   96
  1.642778e-01   8.866387e-22   0.000000e+00   1.301551e-22   48
  1.666081e-01   7.445652e-22   0.000000e+00   1.314931e-22   36
  1.677611e-01   7.541752e-22   3.441276e-09   1.268720e-22   48
  1.689063e-01   5.399846e-22   3.893359e-09   4.606472e-23   120
  1.700437e-01   8.738808e-22   0.000000e+00   1.599510e-22   56
  1.711736e-01   6.343680e-22   1.986821e-09   7.958461e-23   24
  1.722960e-01   5.809726e-22   0.000000e+00   6.332998e-23   96
  1.734112e-01   6.314829e-22   0.000000e+00   8.085470e-23   48
  1.756204e-01   3.317598e-22   0.000000e+00   4.989412e-23   24
  1.767146e-01   5.051766e-22   0.000000e+00   5.005794e-23   102
  1.778021e-01   3.747634e-22   0.000000e+00   4.231062e-23   48
  1.788829e-01   4.934076e-22   0.000000e+00   6.099490e-23   72
  1.799573e-01   6.272317e-22   0.000000e+00   1.012731e-22   48
  1.810253e-01   3.757587e-22   0.000000e+00   3.234638e-23   48
  1.820871e-01   3.625543e-22   4.495664e-09   3.009479e-23   120
  1.841922e-01   3.039314e-22   2.809790e-09   5.560717e-23   24
  1.852358e-01   4.493397e-22   2.649095e-09   3.197049e-23   144
  1.862735e-01   3.913364e-22   3.178914e-09   3.547553e-23   120
  1.873055e-01   3.832674e-22   2.809790e-09   4.566582e-23   48
  1.893526e-01   4.254239e-22   2.809790e-09   7.321664e-23   48
  1.903679e-01   3.303089e-22   2.809790e-09   3.460854e-23   96
  1.930487e-01   3.123699e-22   4.711199e-04   3.299022e-23   72
  1.943761e-01   2.694528e-22   3.532127e-09   2.756388e-23   108
  1.953653e-01   3.355881e-22   0.000000e+00   3.741383e-23   72
  1.963495e-01   3.310309e-22   0.000000e+00   7.965016e-23   30
  1.973288e-01   3.469195e-22   0.000000e+00   2.499108e-23   168
  1.983033e-01   3.263923e-22   0.000000e+00   4.962773e-23   48
