# power spectrum of B
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.456254e-16   0.000000e+00   1.948891e-17   6
  2.776802e-02   1.358587e-16   0.000000e+00   1.796450e-17   12
  3.400874e-02   9.427190e-17   3.725290e-10   3.484288e-17   8
  3.926991e-02   1.060226e-16   0.000000e+00   2.352051e-17   6
  4.390509e-02   1.714274e-16   0.000000e+00   2.477751e-17   24
  4.809562e-02   8.848389e-17   7.024475e-10   9.190830e-18   24
  5.553604e-02   7.977791e-17   0.000000e+00   1.062977e-17   12
  5.890486e-02   1.054855e-16   7.947286e-10   1.744778e-17   30
  6.209118e-02   1.023895e-16   0.000000e+00   1.105479e-17   24
  6.512178e-02   1.621145e-16   1.216675e-09   2.496636e-17   24
  6.801748e-02   1.014215e-16   7.450581e-10   2.458842e-17   8
  7.079483e-02   6.378969e-17   9.934107e-10   9.244236e-18   24
  7.346727e-02   9.779907e-17   0.000000e+00   9.231946e-18   48
  7.853982e-02   7.228816e-17   0.000000e+00   6.383056e-18   6
  8.095699e-02   8.102847e-17   1.404895e-09   8.488926e-18   48
  8.330406e-02   9.465982e-17   0.000000e+00   7.389959e-18   36
  8.558678e-02   4.748277e-17   9.934107e-10   8.061883e-18   24
  8.781018e-02   7.381017e-17   0.000000e+00   1.187440e-17   24
  8.997866e-02   5.979467e-17   0.000000e+00   5.082256e-18   48
  9.209610e-02   5.170260e-17   1.404895e-09   5.676534e-18   24
  9.619124e-02   4.890625e-17   1.404895e-09   7.394036e-18   24
  9.817477e-02   5.569036e-17   0.000000e+00   6.177381e-18   30
  1.001190e-01   5.809561e-17   0.000000e+00   4.606253e-18   72
  1.020262e-01   7.983430e-17   1.490116e-09   9.651115e-18   32
  1.057375e-01   5.951530e-17   0.000000e+00   4.283012e-18   72
  1.075451e-01   5.070279e-17   0.000000e+00   5.161083e-18   48
  1.110721e-01   1.680533e-17   0.000000e+00   2.513852e-18   12
  1.127942e-01   4.499114e-17   0.000000e+00   4.035214e-18   48
  1.144905e-01   3.959738e-17   0.000000e+00   4.073692e-18   48
  1.161620e-01   3.293812e-17   1.404895e-09   3.057894e-18   48
  1.178097e-01   3.737432e-17   1.589457e-09   4.415394e-18   30
  1.194348e-01   3.934328e-17   1.404895e-09   8.094304e-18   24
  1.210380e-01   4.040306e-17   2.961779e-09   3.738218e-18   72
  1.241824e-01   5.035786e-17   0.000000e+00   7.588502e-18   24
  1.257251e-01   4.025677e-17   0.000000e+00   2.545632e-18   96
  1.272490e-01   3.573842e-17   0.000000e+00   3.273545e-18   48
  1.287550e-01   3.871114e-17   2.433349e-09   2.630620e-18   24
  1.302436e-01   3.763611e-17   2.433349e-09   5.719743e-18   24
  1.317153e-01   3.926131e-17   0.000000e+00   3.823809e-18   72
  1.331707e-01   3.417499e-17   0.000000e+00   3.158495e-18   48
  1.360350e-01   3.128976e-17   1.490116e-09   2.174428e-18   8
  1.374447e-01   2.627009e-17   1.766064e-09   3.266411e-18   54
  1.388401e-01   2.720932e-17   0.000000e+00   2.134933e-18   84
  1.402216e-01   2.681927e-17   0.000000e+00   1.676404e-18   48
  1.415897e-01   4.448177e-17   1.986821e-09   4.837766e-18   24
  1.429446e-01   3.304088e-17   1.873193e-09   2.398423e-18   72
  1.442869e-01   2.626163e-17   0.000000e+00   1.862840e-18   96
  1.469345e-01   1.671569e-17   0.000000e+00   1.616183e-18   48
  1.482407e-01   2.520375e-17   0.000000e+00   2.292815e-18   48
  1.495354e-01   2.278900e-17   1.986821e-09   2.678693e-18   24
  1.508189e-01   2.477788e-17   0.000000e+00   1.803634e-18   72
  1.533539e-01   2.226990e-17   1.873193e-09   2.036700e-18   72
  1.546058e-01   2.168940e-17   0.000000e+00   1.503908e-18   96
  1.570796e-01   1.951934e-17   0.000000e+00   2.422512e-18   6
  1.583021e-01   2.294324e-17   0.000000e+00   1.817086e-18   96
  1.595151e-01   1.772239e-17   1.986821e-09   1.178706e-18   96
  1.607190e-01   1.964580e-17   0.000000e+00   3.103218e-18   24
  1.619140e-01   1.923522e-17   2.809790e-09   2.099321e-18   48
  1.631002e-01   1.620020e-17   0.000000e+00   1.092799e-18   96
  1.642778e-01   1.799441e-17   0.000000e+00   1.400060e-18   48
  1.666081e-01   1.667562e-17   0.000000e+00   2.148502e-18   36
  1.677611e-01   1.959501e-17   3.441276e-09   2.040463e-18   48
