# power spectrum of phi
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.432356e-10   0.000000e+00   5.260422e-11   6
  2.776802e-02   2.127864e-10   0.000000e+00   4.678523e-11   12
  3.400874e-02   1.078491e-10   3.725290e-10   3.048132e-11   8
  3.926991e-02   9.242849e-11   0.000000e+00   2.550951e-11   6
  4.390509e-02   6.945458e-11   0.000000e+00   9.019467e-12   24
  4.809562e-02   6.018821e-11   7.024475e-10   1.175171e-11   24
  5.553604e-02   1.564017e-11   0.000000e+00   3.712536e-12   12
  5.890486e-02   4.343506e-11   7.947286e-10   5.077055e-12   30
  6.209118e-02   2.625096e-11   0.000000e+00   4.766044e-12   24
  6.512178e-02   3.075169e-11   1.216675e-09   6.230165e-12   24
  6.801748e-02   5.852166e-11   7.450581e-10   2.131992e-11   8
  7.079483e-02   2.206572e-11   9.934107e-10   4.196056e-12   24
  7.346727e-02   2.070522e-11   0.000000e+00   2.416401e-12   48
  7.853982e-02   1.486539e-11   0.000000e+00   1.037180e-12   6
  8.095699e-02   2.384946e-11   1.404895e-09   2.642778e-12   48
  8.330406e-02   2.194113e-11   0.000000e+00   3.186604e-12   36
  8.558678e-02   1.051964e-11   9.934107e-10   2.650522e-12   24
  8.781018e-02   1.357806e-11   0.000000e+00   2.036994e-12   24
  8.997866e-02   1.295621e-11   0.000000e+00   1.678064e-12   48
  9.209610e-02   2.105864e-11   1.404895e-09   4.041047e-12   24
  9.619124e-02   1.156775e-11   1.404895e-09   2.370400e-12   24
  9.817477e-02   1.333662e-11   0.000000e+00   2.146745e-12   30
  1.001190e-01   1.287424e-11   0.000000e+00   1.261196e-12   72
  1.020262e-01   1.378056e-11   1.490116e-09   2.027074e-12   32
  1.057375e-01   9.003173e-12   0.000000e+00   1.461625e-12   72
  1.075451e-01   9.283535e-12   0.000000e+00   1.167670e-12   48
  1.110721e-01   4.464775e-12   0.000000e+00   8.985729e-13   12
  1.127942e-01   1.013451e-11   0.000000e+00   1.353626e-12   48
  1.144905e-01   9.493406e-12   0.000000e+00   1.389076e-12   48
  1.161620e-01   6.220236e-12   1.404895e-09   9.207092e-13   48
  1.178097e-01   6.487483e-12   1.589457e-09   9.167442e-13   30
  1.194348e-01   7.428104e-12   1.404895e-09   1.127798e-12   24
  1.210380e-01   7.215510e-12   2.961779e-09   7.034494e-13   72
  1.241824e-01   5.914423e-12   0.000000e+00   2.307995e-12   24
  1.257251e-01   8.621963e-12   0.000000e+00   8.077704e-13   96
  1.272490e-01   4.606947e-12   0.000000e+00   8.375353e-13   48
  1.287550e-01   5.783913e-12   2.433349e-09   9.950563e-13   24
  1.302436e-01   1.093753e-11   2.433349e-09   1.978214e-12   24
  1.317153e-01   6.427343e-12   0.000000e+00   8.468823e-13   72
  1.331707e-01   6.856771e-12   0.000000e+00   9.565474e-13   48
  1.360350e-01   9.393993e-12   1.490116e-09   2.967059e-12   8
  1.374447e-01   5.628005e-12   1.766064e-09   5.104146e-13   54
  1.388401e-01   5.894685e-12   0.000000e+00   6.799798e-13   84
  1.402216e-01   4.358263e-12   0.000000e+00   5.913610e-13   48
  1.415897e-01   4.444186e-12   1.986821e-09   1.252345e-12   24
  1.429446e-01   4.862083e-12   1.873193e-09   5.422459e-13   72
  1.442869e-01   4.490294e-12   0.000000e+00   3.677155e-13   96
  1.469345e-01   4.402936e-12   0.000000e+00   4.676757e-13   48
  1.482407e-01   4.094394e-12   0.000000e+00   4.752300e-13   48
  1.495354e-01   3.796909e-12   1.986821e-09   8.523143e-13   24
  1.508189e-01   3.353031e-12   0.000000e+00   4.174612e-13   72
  1.533539e-01   3.907390e-12   1.873193e-09   5.030865e-13   72
  1.546058e-01   2.919164e-12   0.000000e+00   2.648861e-13   96
  1.570796e-01   6.171405e-13   0.000000e+00   3.192346e-13   6
  1.583021e-01   2.906055e-12   0.000000e+00   3.223944e-13   96
  1.595151e-01   3.124122e-12   1.986821e-09   2.457423e-13   96
  1.607190e-01   3.089525e-12   0.000000e+00   4.016571e-13   24
  1.619140e-01   3.070389e-12   2.809790e-09   4.572408e-13   48
  1.631002e-01   2.224809e-12   0.000000e+00   2.042435e-13   96
  1.642778e-01   2.358064e-12   0.000000e+00   2.478693e-13   48
  1.666081e-01   2.598982e-12   0.000000e+00   5.048181e-13   36
